,Item name,Item Scale,Item image,Item no
0,New London Bus,1:72 Scale,https://www.wellydiecast.com/upload/product/middle/2020-03-31/554858930111.jpg,99931
1,Opel Blitz,1:34-1:39 Scales,https://www.wellydiecast.com/upload/product/middle/2021-01-27/947730092167.jpg,43787C
2,Opel Blitz,1:34-1:39 Scales,https://www.wellydiecast.com/upload/product/middle/2021-01-27/881948901739.jpg,43787H
3,Toyota Supra,1:34-1:39 Scales,https://www.wellydiecast.com/upload/product/middle/2020-03-04/506756888994.jpg,43786
4,BMW M1,1:24 Scale,https://www.wellydiecast.com/upload/product/middle/2020-03-04/735752070297.jpg,24098
5,FREIGHTLINER CASCADIA,1:32 Scales,https://www.wellydiecast.com/upload/product/middle/2018-11-23/723603181666.jpg,32697
6,1963 Volkswagen T1 Bus,1:24-27 SCALE,https://www.wellydiecast.com/upload/product/middle/2018-10-26/282035140927.jpg,22095PV
7,Pagani Huayra,1:24-27 SCALE,https://www.wellydiecast.com/upload/product/middle/2018-10-26/741153367870.jpg,24088
8,1963 Volkswagen T1 Bus,1:24-27 SCALE,https://www.wellydiecast.com/upload/product/middle/2018-10-26/289033193779.jpg,22095A3
9,LEXUS RC F,1:43-49 SCALE,https://www.wellydiecast.com/upload/product/middle/2018-02-13/693477211913.jpg,44050
10,MERCEDES-BENZ L319,1:34-1:39 Scales,https://www.wellydiecast.com/upload/product/middle/2018-02-13/257104033177.jpg,43755PV
11,MERCEDES-BENZ L319,1:34-1:39 Scales,https://www.wellydiecast.com/upload/product/middle/2018-02-13/163462458753.jpg,43755WV
12,2017 CHEVROLET CORVETTE Z06,1:34-1:39 Scales,https://www.wellydiecast.com/upload/product/middle/2018-02-13/764090856817.jpg,43752
13,1955 CHEVY STEPSIDE TOW TRUCK,1:34-1:39 Scales,https://www.wellydiecast.com/upload/product/middle/2018-02-13/721816855028.jpg,43765
14,KIA ALL NEW PICANTO,1:34-1:39 Scales,https://www.wellydiecast.com/upload/product/middle/2018-02-13/026950286613.jpg,43760
15,1955 CHEVROLET STEPSIDE,1:34-1:39 Scales,https://www.wellydiecast.com/upload/product/middle/2021-01-27/684688393496.jpg,43749
16,LAND ROVER DEFENDER,1:24-27 SCALE,https://www.wellydiecast.com/upload/product/middle/2018-02-13/112596971063.jpg,22498SP
17,Mercedes-Benz Actros Tractor Trailer,1:87 Scale,https://www.wellydiecast.com/upload/product/middle/2018-01-05/573021321534.jpg,72131
18,Mercedes-Benz Actros Tractor Trailer,1:87 Scale,https://www.wellydiecast.com/upload/product/middle/2018-01-05/834177257373.jpg,72131
19,Mercedes-Benz Actros Tractor Trailer,1:87 Scale,https://www.wellydiecast.com/upload/product/middle/2018-01-05/309277429731.jpg,72131
20,Mercedes-Benz Actros Tractor Trailer,1:87 Scale,https://www.wellydiecast.com/upload/product/middle/2018-01-05/431690893982.jpg,72131
21,Mercedes-Benz Actros Semi-Tractor Trailer,1:87 Scale,https://www.wellydiecast.com/upload/product/middle/2018-01-05/339332464682.jpg,7132
22,Mercedes-Benz Actros Semi-Tractor Trailer,1:87 Scale,https://www.wellydiecast.com/upload/product/middle/2018-01-05/117264251900.jpg,72132
23,Mercedes-Benz Actros Semi-Tractor Trailer,1:87 Scale,https://www.wellydiecast.com/upload/product/middle/2018-01-05/394824776870.jpg,72132
24,Mercedes-Benz Actros oil Tanker,i:87 Scale,https://www.wellydiecast.com/upload/product/middle/2018-01-05/480911700298.jpg,72133
25,SCANIA V8 R730 Tractor Trailer,1:87 Scales,https://www.wellydiecast.com/upload/product/middle/2018-01-08/472308720157.jpg,72135
26,SCANIA V8 R730 Tractor Trailer,1:87 Scale,https://www.wellydiecast.com/upload/product/middle/2018-01-05/203389046001.jpg,72135
27,SCANIA V8 R730 Tractor Trailer,1:87 Scale,https://www.wellydiecast.com/upload/product/middle/2018-01-05/230159576835.jpg,72135
28,SCANIA V8 R730 Tractor Trailer,1:87 Scale,https://www.wellydiecast.com/upload/product/middle/2018-01-05/144535626479.jpg,72135
29,SCANIA V8 R730 OIL TANKER,1:87 Scale,https://www.wellydiecast.com/upload/product/middle/2018-01-05/967200869662.jpg,72136
30,Nuova Fiat 500,,https://www.wellydiecast.com/upload/product/middle/2018-01-05/547089981819.jpg,92724SA
31,CITROÃN 2CV,,https://www.wellydiecast.com/upload/product/middle/2018-01-05/394134777289.jpg,92723SA
32, Volkswagen Beetle,1:32 Scales,https://www.wellydiecast.com/upload/product/middle/2018-01-05/346622203680.jpg,92716SA
33,1963 Volkswagen T1 Bus,1:32 Scales,https://www.wellydiecast.com/upload/product/middle/2018-01-05/813498643926.jpg,92715SA
34, Volkswagen T3,1:32 Scales,https://www.wellydiecast.com/upload/product/middle/2018-01-05/008447753439.jpg,92735FE
35, Volkswagen T3,1:32 Scales,https://www.wellydiecast.com/upload/product/middle/2018-01-05/849574078610.jpg,92735GP
36,Volkswagen T3 ,1:32 Scales,https://www.wellydiecast.com/upload/product/middle/2018-01-05/358023761703.jpg,92735USF
37,Volkswagen T3 ,,https://www.wellydiecast.com/upload/product/middle/2018-01-05/217682734636.jpg,92735UP
38,Maserati Levante,,https://www.wellydiecast.com/upload/product/middle/2017-10-23/673286391973.jpg,39892F
39,1972 Volkswagen T2 ,,https://www.wellydiecast.com/upload/product/middle/2018-01-05/347363978279.jpg,92734FE
40,Jeep Renegade Traihawk,,https://www.wellydiecast.com/upload/product/middle/2017-10-23/447025125272.jpg,39891F
41,1972 Volkswagen T2 ,,https://www.wellydiecast.com/upload/product/middle/2018-01-05/053632597385.jpg,92734GP
42,BMW X5,,https://www.wellydiecast.com/upload/product/middle/2016-06-03/276846506042.jpg,39890
43,1972 Volkswagen T2 ,,https://www.wellydiecast.com/upload/product/middle/2018-01-05/910114383311.jpg,92734USF
44,MERCEDES-BENZ G-CLASS,,https://www.wellydiecast.com/upload/product/middle/2017-10-23/208084069568.jpg,39889GP
45,1972 Volkswagen T2 ,,https://www.wellydiecast.com/upload/product/middle/2018-01-05/415670712633.jpg,92734UP
46,MERCEDES-BENZ G-CLASS,,https://www.wellydiecast.com/upload/product/middle/2017-10-23/858076226052.jpg,39889GF
47,1963 Volkswagen T1 Bus,,https://www.wellydiecast.com/upload/product/middle/2018-01-05/367862809169.jpg,92715FE
48,MERCEDES-BENZ G-CLASS,1:32 Scales,https://www.wellydiecast.com/upload/product/middle/2017-03-13/321056907276.jpg,39889
49,1963 Volkswagen T1 Bus,1:32 Scales,https://www.wellydiecast.com/upload/product/middle/2018-01-05/619780247079.jpg,92715GP
50,2010 AUDI Q7,1:32 Scales,https://www.wellydiecast.com/upload/product/middle/2017-03-13/787242748752.jpg,39888
51,1963 Volkswagen T1 Bus,1:32 Scales,https://www.wellydiecast.com/upload/product/middle/2018-01-05/066126874405.jpg,92715USF
52,HUMMER H3,1:32 Scales,https://www.wellydiecast.com/upload/product/middle/2017-03-13/577879386989.jpg,39887
53,1963 Volkswagen T1 Bus,1:32 Scales,https://www.wellydiecast.com/upload/product/middle/2018-01-05/967790262491.jpg,92715UP
54,1963 VOLKSWAGEN T1 BUS,1:32 Scales,https://www.wellydiecast.com/upload/product/middle/2017-03-13/062464751760.jpg,39886
55,Lexus RC F,1:32 Scales,https://www.wellydiecast.com/upload/product/middle/2019-01-21/450295721733.jpg,92739
56,2007 JEEP WRANGLER RUBICON,,https://www.wellydiecast.com/upload/product/middle/2017-03-13/050054535475.jpg,39885H
57,Mazda CX-5,,https://www.wellydiecast.com/upload/product/middle/2018-01-05/012355445384.jpg,92738
58,2007 JEEP WRANGLER RUBICON,,https://www.wellydiecast.com/upload/product/middle/2017-03-13/409094669209.jpg,39885C
59,2016 DODGE Charger R/T,,https://www.wellydiecast.com/upload/product/middle/2018-01-05/490610889214.jpg,92737
60,VOLVO XC90,,https://www.wellydiecast.com/upload/product/middle/2017-03-13/308922169026.jpg,39884
61,Toyota Camry,,https://www.wellydiecast.com/upload/product/middle/2019-01-21/648304298521.jpg,92736
62,2005 LINCOLN NAVIGATOR,,https://www.wellydiecast.com/upload/product/middle/2017-03-13/202163546551.jpg,39883
63,Volkswagen T3,,https://www.wellydiecast.com/upload/product/middle/2018-01-05/497822721183.jpg,92735
64,LAND ROVER RANGE ROVER,1:32 Scales,https://www.wellydiecast.com/upload/product/middle/2017-03-13/359461431272.jpg,39882
65,1972 Volkswagen T2,1:32 Scales,https://www.wellydiecast.com/upload/product/middle/2018-01-05/563618092612.jpg,92734
66,VW TOUAREG,1:32 Scales,https://www.wellydiecast.com/upload/product/middle/2017-03-13/299636547127.jpg,39877
67,Volkswagen Golf GTI,1:32 Scales,https://www.wellydiecast.com/upload/product/middle/2018-01-05/213869720967.jpg,92733
68,2017 Honda NSX,,https://www.wellydiecast.com/upload/product/middle/2018-01-05/051648303058.jpg,92732
69,MERCEDES-BENZ UNIMOG U400,,https://www.wellydiecast.com/upload/product/middle/2017-03-13/469503630081.jpg,32380H
70,Renault Clio RS,,https://www.wellydiecast.com/upload/product/middle/2018-01-05/104432136744.jpg,92731
71,MERCEDES-BENZ UNIMOG U400,,https://www.wellydiecast.com/upload/product/middle/2017-03-13/975844411959.jpg,32380C
72,School Bus,,https://www.wellydiecast.com/upload/product/middle/2018-01-05/010412018397.jpg,92730
73,SUBARU WRX,,https://www.wellydiecast.com/upload/product/middle/2018-01-05/671461855459.jpg,92729
74,Mitsubishi Lancer Evolution X,,https://www.wellydiecast.com/upload/product/middle/2018-01-05/391481473706.jpg,92728
75,Trabant 601,,https://www.wellydiecast.com/upload/product/middle/2018-01-05/988625130079.jpg,92727
76,2015 Ford Mustang GT,,https://www.wellydiecast.com/upload/product/middle/2018-01-05/785400427336.jpg,92726
77,Toyota 86,,https://www.wellydiecast.com/upload/product/middle/2018-01-05/942735365746.jpg,92725
78,Nuova Fiat 500,,https://www.wellydiecast.com/upload/product/middle/2018-01-06/136433734558.jpg,92724
79,Nuova Fiat 500,,https://www.wellydiecast.com/upload/product/middle/2018-01-05/770877746146.jpg,92724
80,CITROÃN 2CV,1:34-1:39 Scales,https://www.wellydiecast.com/upload/product/middle/2018-01-05/755563779713.jpg,92723
81,Jaguar F-Type Coupe,1:24-27 SCALE,https://www.wellydiecast.com/upload/product/middle/2018-01-05/881494440448.jpg,92722
82,Land Rover Range Rover Evoque,1:34-1:39 Scales,https://www.wellydiecast.com/upload/product/middle/2018-01-05/560631631548.jpg,92721
83,VOLVO XC60,1:60-1:64 Scales,https://www.wellydiecast.com/upload/product/middle/2018-01-05/255533803939.jpg,92720
84,LAMBORGHINI MURCIELAGO,1:60-1:64 Scales,https://www.wellydiecast.com/upload/product/middle/2018-01-05/846044333452.jpg,92719
85,MITSUBISHI PAJERO,1:18 Motos,https://www.wellydiecast.com/upload/product/middle/2018-01-05/362211431050.jpg,92718
86,TOYOTA YARIS,,https://www.wellydiecast.com/upload/product/middle/2018-01-05/246498337464.jpg,92717
87,VOLKSWAGEN BEETLE,,https://www.wellydiecast.com/upload/product/middle/2018-01-05/512930296799.jpg,92716
88,1963 VOLKSWAGEN T1 BUS,,https://www.wellydiecast.com/upload/product/middle/2018-01-05/142382570916.jpg,92715
89,Q Racer,,https://www.wellydiecast.com/upload/product/middle/2018-01-05/524699997493.jpg,92714
90,CITROÃN 2CV,,https://www.wellydiecast.com/upload/product/middle/2018-01-09/886930098117.jpg,43625H-SB-F
91,Lamborghini Countach LP 5000 S,,https://www.wellydiecast.com/upload/product/middle/2022-06-17/722996839390.jpg,24112
92,Lamborghini Countach LP 5000 S,,https://www.wellydiecast.com/upload/product/middle/2022-06-17/720680741782.jpg,43815
93,Porsche 911 Carrera RS 2.7,,https://www.wellydiecast.com/upload/product/middle/2022-06-17/416032524305.jpg,52415
94,LOTUS ESPRIT TYPE 79,,https://www.wellydiecast.com/upload/product/middle/2022-06-17/051430776851.jpg,52421
95,KAWASAKI NINJA ZX-10R,,https://www.wellydiecast.com/upload/product/middle/2022-06-17/470928185467.jpg,12858
96,BMW R18,1:18 Motos,https://www.wellydiecast.com/upload/product/middle/2022-05-23/097694260689.jpg,12859
97,Lotus Emira,1:24-27 SCALE,https://www.wellydiecast.com/upload/product/middle/2022-05-23/514209275186.jpg,24115
98,BMW M4,1:60-1:64 Scales,https://www.wellydiecast.com/upload/product/middle/2022-05-23/753471981925.jpg,52409
99,BMW 2002 ti,1:34-1:39 Scales,https://www.wellydiecast.com/upload/product/middle/2022-05-23/792352798447.jpg,43808
